fips,transmission_cap,interconnection_timeline,hv_line_proximity
01001,87.57495149337485,42.33318446056779,83.40543290583418
01009,93.70536143996713,88.03457394280548,71.12185900485362
01017,86.95202900084,85.68292832706997,99.11408388101555
01021,82.83751023661502,52.03945547351083,78.29617829568424
01033,70.1212665909925,54.679095951992004,74.2612423591635
01045,71.53149033874635,60.774658990033856,66.12611276421089
01051,92.49618905296667,24.944132105373214,84.03163683722963
01065,87.79349003905332,76.71936346881154,82.80660650187637
01079,79.60980480622456,64.54310907319739,85.82636920516259
01083,75.8209045423411,89.40350165135719,64.59122168742307
01099,59.74192126888623,48.031815640748945,55.98228201782641
01107,69.29147581315561,57.617541035001366,89.3838695375984
01121,99.11419087139723,39.869494839217694,100.0
02050,67.19544428997533,49.91418873011494,64.60469566415156
02105,81.8947982122108,46.36036007863563,100.0
02122,90.07443973195198,89.91947357692891,84.25866588104572
02150,67.45077331997707,56.03476302497215,79.89405643173755
02164,81.84710474781083,72.48351369489227,74.03676955181334
02180,89.37915537510655,62.38473192276391,59.23222970862505
02188,80.12499321907251,44.610694679743744,94.815927738869
02198,100.0,66.63399153656715,68.36590457843596
05141,63.31400741121805,81.9820666372719,68.30289986393599
05145,90.5872852988388,45.84481214913295,94.87889464830432
06005,78.27198262603535,86.18225581462758,51.755248299924105
06021,87.71920154836675,53.005581570446076,57.1460328399775
06033,84.41307151699246,60.34032147854319,79.72798634737877
06043,72.66843802890003,80.61366246020096,84.39926643507278
06055,82.28996392459341,56.73127685561024,87.27101971953385
06089,61.42098548601713,70.75149718671732,75.47302259905621
06099,86.03247500571393,63.70618342423815,100.0
06115,82.98158465990525,72.58736013407638,76.58161161851248
08003,86.38660168643102,22.385217889530054,76.53820771845916
08013,90.5811832508715,33.406363695838344,68.04519996779183
08014,83.67619840209711,82.31934012093676,81.85860224781607
08025,81.48089419798276,90.743628112981,89.22441848070162
08031,71.18931663338708,51.790265929369575,98.0536708180019
08035,72.87779236350949,65.11943295657731,57.66073603339673
08047,91.86734620177332,75.89438505804603,76.31006992466449
12083,94.36335405705978,83.86435203317409,86.70055416213717
12087,77.61889563687946,29.44645456658303,88.80586301891803
12095,80.46002747253274,52.27919506043246,80.09822986706808
12111,70.95385625006234,63.3484124030025,88.13635954298152
12119,91.72756845267445,84.06280394472098,67.865541606113
12125,86.65416823691778,100.0,100.0
13001,99.4121743646375,65.43988546380564,94.88942154469144
13013,71.21676922820261,41.860450757920226,59.82608319402242
13029,76.21992100981782,78.04536154402597,63.873454278248666
13043,82.31445922525572,96.4199157908142,64.2961737483964
13055,86.4648953772577,72.16028241959002,90.16954956344793
13059,77.84332362452368,51.867029096914145,60.72908350373799
13071,71.270389095463,89.15987882960039,75.03463498687879
13079,88.81407528923572,83.2709123699687,86.8205659462516
13091,87.21135362545581,49.478383116087514,79.00751098180348
13107,70.83725899436276,77.62851235068683,83.88331273569058
13113,93.55442801105495,89.94531135317746,64.01295932976862
13123,91.70198709196603,93.63780085117787,88.92281560095867
08053,81.34296497247793,68.67102049381089,70.80182161286005
08057,80.79597862376036,62.83841107641362,75.13070488403088
08059,85.54057771115907,94.54547644162525,83.56597591858979
08073,71.38296929743741,45.79678994038229,81.54617332296272
08083,80.30031479164082,78.7715858184201,80.3597002852339
08095,58.4761645539082,42.599467452711416,68.74059767034866
08105,88.76455645502935,91.30752544519206,75.50675883201212
08111,64.3850677755814,64.83908968777676,80.03275386255554
08123,95.03419828428999,95.37166471294938,59.37372150249373
09015,76.6987990603355,79.82825512711054,73.06200550529931
12001,77.88333018068823,45.5355953987614,85.81519818549269
12013,73.72266093915495,98.49255464154487,60.83845094231987
12023,77.11961126077924,100.0,97.3487247739136
12039,94.18531345148037,87.64572985198431,99.04419893899764
12055,55.12191343464921,54.7682426992756,61.32274136059871
12059,92.76965386088187,63.87972091285182,100.0
12073,83.38023481101708,72.90854434811519,77.84627616931799
02261,67.92978352142785,55.925792013371336,86.27771838735582
02270,69.24687606950762,100.0,72.5502342180763
04003,96.76393027208204,72.88652943452074,93.84567240840143
04013,70.54493120057269,15.933039057852856,86.09141028273001
05001,68.46649489404041,76.7871162551244,67.78770115103595
05009,91.3731454236473,63.03685206365374,62.521970000520675
05019,83.38552876285914,68.50146887763104,58.09546347186166
05029,70.620744234636,62.62761268428601,82.81912664649134
05043,82.16624975404619,86.14092833213375,88.58707117669604
05051,69.74247316359723,92.39375557106763,89.76448518169163
05061,91.00821398422605,75.66106324517307,78.23028358088933
05071,90.61370964873133,63.213776257236816,62.64505316503454
05085,85.32006198821944,69.1732559038166,69.76887802964326
05097,83.61661061247017,70.39199233155257,97.28522958442889
05101,97.61188124867374,53.95139920270326,72.73057153099877
05111,79.99686327388225,81.57857297142469,82.15126446022214
05123,68.181258745792,79.20084647720932,63.86524274637669
05129,84.49473912832306,100.0,85.04874568188552
13309,100.0,95.1069956057695,73.13473157481383
13313,69.85240506814148,56.286501648197394,95.70069070663645
13319,76.38537233306015,86.4059674901793,91.6033655931022
15009,84.16446038101452,50.98093233811057,72.56441080137651
16015,79.4609515099426,83.918642018817,78.10003958978506
16021,70.17696419622685,59.66771602479784,71.73325639939057
16045,91.21857856230471,49.53493553248831,58.70850205182485
16051,100.0,75.60090685394809,67.13836355679175
16057,81.96131459023907,16.508657436917183,82.9732599158123
16067,70.95931710264,34.98048851189544,84.87889247344373
16081,64.51039474946525,66.45016232451434,82.22821855388959
17005,82.5797598122118,71.64883533269685,75.47400419062046
17009,91.03877343316258,62.613624596836225,93.99599908581477
17019,84.75167746495381,38.41127402564803,80.95312856841406
17029,79.97596159081147,53.64216315722989,90.54880742143921
17035,74.10728348210694,77.82418654474787,53.39337301696222
17049,69.07836367281911,81.63563541256725,21.163996225724865
17055,88.34751326324883,69.67553764808117,84.2568204175712
17065,89.13771621385585,93.13667562073978,58.62851519417766
18051,64.54270213309267,77.94794046918469,76.81322445930417
18059,95.89838978180684,55.05088692083576,75.46854438463092
18069,85.74071220894001,64.38995893176765,100.0
18079,93.99594645145794,41.942676855842905,85.9999482941541
18085,66.57872251514885,67.83722019217167,82.4878854019801
18095,66.34175844584561,92.24201238442677,92.5548673195051
18105,78.51030690232703,83.70580169421936,85.52746380258559
18115,85.02784426895194,98.04018651838244,73.13484510517351
18125,97.96360822926964,63.942295124020134,96.0721389538184
18131,87.06078913815132,96.92199589028516,63.35374808167589
18139,77.57318723187967,66.13391547104061,84.84870781300343
18153,69.73630792334107,99.43170165139787,56.78645308795533
18173,92.3000057271915,69.56286505115753,83.05915786273992
18179,70.35294574249285,84.14462747608553,82.89484462659394
18183,96.28468554772323,99.50224728619712,100.0
19009,77.1561535039349,66.13144742837589,56.52539159837331
19017,95.9058207261785,74.36777975088349,70.98669236219281
19021,86.78931290059279,95.77726850412604,92.34023639861216
19031,78.63004510557542,67.33993672139873,85.02975884595962
19039,74.80603628173873,43.58215434987678,82.70457577006255
17073,76.59092122653921,100.0,65.65796445562191
17077,84.28316692375238,60.60471071325726,71.13772477862857
17079,80.77156496217717,73.17512101875086,98.67561512334885
17089,74.06188591931294,93.12013338902254,79.22736209369108
17103,78.34368589682367,57.83012192537596,85.6303954421671
17107,80.7857702971915,49.84264173555739,78.27217506835281
17121,58.71265905585188,75.07474593549667,62.25371727125352
17129,84.58168114788698,34.13847204175221,94.00715639112495
17139,70.20278775283194,64.2418784626416,87.54848576798744
17145,68.46667596794255,74.90077328630812,100.0
