fips,water_score,land_score,zoning_score,fiber_score,power_score
01001,0.0,40.07416450052945,7.344162022929657,99.46666669999999,70.27335970911693
01001,0.0,40.07416450052945,7.344162022929657,100.0,70.27335970911693
01001,0.0,40.07416450052945,7.344162022929657,99.4467114,70.27335970911693
01001,0.0,40.07416450052945,7.344162022929657,99.46666669999999,70.27335970911693
01003,100.0,1.5483111507952452,82.34766118690429,92.4187431,64.20079046786073
01003,100.0,1.5483111507952452,82.34766118690429,100.0,64.20079046786073
01003,100.0,1.5483111507952452,82.34766118690429,91.852209,64.20079046786073
01003,100.0,1.5483111507952452,82.34766118690429,92.4187431,64.20079046786073
01005,21.0676992,10.657057879344578,7.674050485724004,97.1206021,72.8282238692444
01005,21.0676992,10.657057879344578,7.674050485724004,100.0,72.8282238692444
01005,21.0676992,10.657057879344578,7.674050485724004,97.1000441,72.8282238692444
01005,21.0676992,10.657057879344578,7.674050485724004,97.1206021,72.8282238692444
01007,100.0,46.417043269338045,20.40492312411759,96.6143309,48.084256356144486
01007,100.0,46.417043269338045,20.40492312411759,96.6143309,48.084256356144486
01007,100.0,46.417043269338045,20.40492312411759,96.6143309,48.084256356144486
01009,100.0,3.6588684192989107,71.94017678673471,99.9020268,40.07870682011598
01009,100.0,3.6588684192989107,71.94017678673471,100.0,40.07870682011598
01009,100.0,3.6588684192989107,71.94017678673471,99.9013685,40.07870682011598
01009,100.0,3.6588684192989107,71.94017678673471,99.9020268,40.07870682011598
01011,0.0,21.7250721415329,90.30265488087541,99.281079,6.291661464531639
01011,0.0,21.7250721415329,90.30265488087541,99.281079,6.291661464531639
01011,0.0,21.7250721415329,90.30265488087541,99.281079,6.291661464531639
01013,0.0,51.63649334545255,2.619416725786494,84.1653666,29.265799428199646
01013,0.0,51.63649334545255,2.619416725786494,100.0,29.265799428199646
01013,0.0,51.63649334545255,2.619416725786494,84.0492404,29.265799428199646
01013,0.0,51.63649334545255,2.619416725786494,84.1653666,29.265799428199646
01015,100.0,59.64606109033127,96.6018133612456,98.03542669999999,2.7571023148823537
01015,100.0,59.64606109033127,96.6018133612456,100.0,2.7571023148823537
01015,100.0,59.64606109033127,96.6018133612456,97.7688369,2.7571023148823537
01015,100.0,59.64606109033127,96.6018133612456,98.03542669999999,2.7571023148823537
01017,30.582144,79.5369924354844,41.15420105992021,96.32482540000001,34.65671640212828
01017,30.582144,79.5369924354844,41.15420105992021,100.0,34.65671640212828
01017,30.582144,79.5369924354844,41.15420105992021,96.2270473,34.65671640212828
01017,30.582144,79.5369924354844,41.15420105992021,96.32482540000001,34.65671640212828
01019,100.0,17.716057681563623,96.56230235709124,99.7193028,48.35395133250244
01019,100.0,17.716057681563623,96.56230235709124,99.7193028,48.35395133250244
01019,100.0,17.716057681563623,96.56230235709124,99.7193028,48.35395133250244
01021,11.6665216,68.7502947380861,67.3427772681642,97.9685527,96.52957421632846
01021,11.6665216,68.7502947380861,67.3427772681642,100.0,96.52957421632846
01021,11.6665216,68.7502947380861,67.3427772681642,97.94162109999999,96.52957421632846
01021,11.6665216,68.7502947380861,67.3427772681642,97.9685527,96.52957421632846
01023,40.0,32.26057413264791,89.7977515235723,99.9955064,75.33549387424337
01023,40.0,32.26057413264791,89.7977515235723,99.9955064,75.33549387424337
01023,40.0,32.26057413264791,89.7977515235723,99.9955064,75.33549387424337
01025,100.0,25.608154793277038,10.364840079465809,69.8280114,63.50788311229603
01025,100.0,25.608154793277038,10.364840079465809,69.8280114,63.50788311229603
01025,100.0,25.608154793277038,10.364840079465809,69.8280114,63.50788311229603
01027,0.0,7.304481811942964,74.43608136284361,92.0227362,2.289012971258686
